Entry,Entry name,Gene names,Group
P29992,GNA11_HUMAN,GNA11 GA11,GNAQ_11_HUMAN
P50148 ,GNAQ_HUMAN,GNAQ,GNAQ_11_HUMAN
O95837,GNA14_HUMAN,GNA14,GNAQ_11_HUMAN
P30679,GNA15_HUMAN,GNA15 GNA16,GNAQ_11_HUMAN
Q5JWF2,GNAS1_HUMAN,GNAS GNAS1,GNAS_HUMAN
P63092,GNAS2_HUMAN,GNAS GNAS1 GSP,GNAS_HUMAN
P38405,GNAL_HUMAN,GNAL,GNAS_HUMAN
P63096,GNAI1_HUMAN,GNAI1,GNAI_HUMAN
P04899,GNAI2_HUMAN,GNAI2 GNAI2B,GNAI_HUMAN
P08754,GNAI3_HUMAN,GNAI3,GNAI_HUMAN
P09471,GNAO_HUMAN,GNAO1,GNAI_HUMAN
Q03113,GNA12_HUMAN,GNA12,GNA12_13_HUMAN
Q14344,GNA13_HUMAN,GNA13,GNA12_13_HUMAN
P62873,GBB1_HUMAN,GNB1,GBB_HUMAN
P62879,GBB2_HUMAN,GNB2,GBB_HUMAN
P16520,GBB3_HUMAN,GNB3,GBB_HUMAN
Q9HAV0,GBB4_HUMAN,GNB4,GBB_HUMAN
O14775,GNB5_HUMAN,GNB5,GBB_HUMAN
P50151,GBG10_HUMAN,GNG10 GNGT10,GBG_HUMAN
P61952,GBG11_HUMAN,GNG11 GNGT11,GBG_HUMAN
Q9UBI6,GBG12_HUMAN,GNG12,GBG_HUMAN
Q9P2W3,GBG13_HUMAN,GNG13,GBG_HUMAN
P59768,GBG2_HUMAN,GNG2,GBG_HUMAN
P63215,GBG3_HUMAN,GNG3 GNGT3,GBG_HUMAN
P50150,GBG4_HUMAN,GNG4 GNGT4,GBG_HUMAN
P63218,GBG5_HUMAN,GNG5 GNGT5,GBG_HUMAN
O60262,GBG7_HUMAN,GNG7 GNGT7,GBG_HUMAN
Q9UK08,GBG8_HUMAN,GNG8 GNG9 GNGT9,GBG_HUMAN
P63211,GBG1_HUMAN,GNGT1,GBG_HUMAN
O14610,GBGT2_HUMAN,GNGT2 GNG8 GNG9 GNGT8,GBG_HUMAN
P11488,GNAT1_HUMAN,GNAT1 GNATR,GNAT_HUMAN
P19087,GNAT2_HUMAN,GNAT2 GNATC,GNAT_HUMAN
A8MTJ3,GNAT3_HUMAN,GNAT3,GNAT_HUMAN
P19086,GNAZ_HUMAN,GNAZ,GNAZ_HUMAN
P42338,PK3CB_HUMAN,PIK3CB,PI3K_HUMAN
P42336,PK3CA_HUMAN,PIK3CA,PI3K_HUMAN
P48736,PK3CG_HUMAN,PIK3CG,PI3K_HUMAN
O00329,PK3CD_HUMAN,PIK3CD,PI3K_HUMAN
P31749,AKT1_HUMAN,AKT1,AKT_HUMAN
P31751,AKT2_HUMAN,AKT2,AKT_HUMAN
Q9Y243,AKT3_HUMAN,AKT3,AKT_HUMAN
Q13131,AAPK1_HUMAN,AAPK1,AAPK_HUMAN
P54646,AAPK2_HUMAN,AAPK2,AAPK_HUMAN
P17252,KPCA_HUMAN,PRKCA,KPC_HUMAN
P05771,KPCB_HUMAN,PRKCB,KPC_HUMAN
P05129,KPCG_HUMAN,PRKCG,KPC_HUMAN
Q15759 ,MK11_HUMAN,MAPK11,p38_HUMAN
P53778 ,MK12_HUMAN,MAPK12,p38_HUMAN
O15264 ,MK13_HUMAN,MAPK13,p38_HUMAN
Q16539 ,MK14_HUMAN,MAPK14,p38_HUMAN
P45983 ,MK08_HUMAN,MAPK8,JNK_HUMAN
P45984 ,MK09_HUMAN,MAPK9,JNK_HUMAN
P53779 ,MK10_HUMAN,MAPK10,JNK_HUMAN
P49407,ARRB1_HUMAN,ARRB1,ARRB_HUMAN
P32121,ARRB2_HUMAN,ARRB2,ARRB_HUMAN
