Entry	Entry name	Gene names	Organism
J3KRI8	J3KRI8_HUMAN	AKT2	Homo sapiens (Human)
J3KSY8	J3KSY8_HUMAN	AKT2	Homo sapiens (Human)
J3KT31	J3KT31_HUMAN	AKT2	Homo sapiens (Human)
J3KTC6	J3KTC6_HUMAN	AKT2	Homo sapiens (Human)
J3KTP4	J3KTP4_HUMAN	AKT2	Homo sapiens (Human)
J3QKW1	J3QKW1_HUMAN	AKT2	Homo sapiens (Human)
J3QL45	J3QL45_HUMAN	AKT2	Homo sapiens (Human)
J3QLS6	J3QLS6_HUMAN	AKT2	Homo sapiens (Human)
M0QZK3	M0QZK3_HUMAN	AKT2	Homo sapiens (Human)
M0QZW8	M0QZW8_HUMAN	AKT2	Homo sapiens (Human)
M0R0P9	M0R0P9_HUMAN	AKT2	Homo sapiens (Human)
M0R275	M0R275_HUMAN	AKT2	Homo sapiens (Human)
M0R283	M0R283_HUMAN	AKT2	Homo sapiens (Human)
P31751	AKT2_HUMAN	AKT2	Homo sapiens (Human)
Q6P4H3	Q6P4H3_HUMAN	AKT2	Homo sapiens (Human)
F8VS91	F8VS91_HUMAN	AKT3	Homo sapiens (Human)
Q56A86	Q56A86_HUMAN	AKT3	Homo sapiens (Human)
Q9Y243	AKT3_HUMAN	AKT3 PKBG	Homo sapiens (Human)
B5BU38	B5BU38_HUMAN	ANXA1	Homo sapiens (Human)
P04083	ANXA1_HUMAN	ANXA1 ANX1 LPC1	Homo sapiens (Human)
Q05BR2	Q05BR2_HUMAN	ANXA1	Homo sapiens (Human)
Q5T3N0	Q5T3N0_HUMAN	ANXA1	Homo sapiens (Human)
Q5T3N1	Q5T3N1_HUMAN	ANXA1	Homo sapiens (Human)
Q5TZZ9	Q5TZZ9_HUMAN	ANXA1 hCG_17305	Homo sapiens (Human)
P35414	APJ_HUMAN	APLNR AGTRL1 APJ	Homo sapiens (Human)
A0A0A0MRG2	A0A0A0MRG2_HUMAN	APP	Homo sapiens (Human)
A0A218KGR2	A0A218KGR2_HUMAN	APP	Homo sapiens (Human)
E9PG40	E9PG40_HUMAN	APP	Homo sapiens (Human)
H7C0V9	H7C0V9_HUMAN	APP	Homo sapiens (Human)
H7C2L2	H7C2L2_HUMAN	APP	Homo sapiens (Human)
L7XCZ9	L7XCZ9_HUMAN	APP	Homo sapiens (Human)
L7XE61	L7XE61_HUMAN	APP	Homo sapiens (Human)
L8EC46	L8EC46_HUMAN	APP	Homo sapiens (Human)
P05067	A4_HUMAN	APP A4 AD1	Homo sapiens (Human)
Q9BYY9	Q9BYY9_HUMAN	APP	Homo sapiens (Human)
A0A0B4J1X7	A0A0B4J1X7_HUMAN	ARHGAP4 hCG_39227	Homo sapiens (Human)
C9J5M2	C9J5M2_HUMAN	ARHGAP4	Homo sapiens (Human)
C9JLA8	C9JLA8_HUMAN	ARHGAP4	Homo sapiens (Human)
E7EQN5	E7EQN5_HUMAN	ARHGAP4	Homo sapiens (Human)
E9PCM6	E9PCM6_HUMAN	ARHGAP4	Homo sapiens (Human)
F8WAR0	F8WAR0_HUMAN	ARHGAP4	Homo sapiens (Human)
H7C120	H7C120_HUMAN	ARHGAP4	Homo sapiens (Human)
H7C2Z8	H7C2Z8_HUMAN	ARHGAP4	Homo sapiens (Human)
H7C3G3	H7C3G3_HUMAN	ARHGAP4	Homo sapiens (Human)
H7C3K8	H7C3K8_HUMAN	ARHGAP4	Homo sapiens (Human)
P98171	RHG04_HUMAN	ARHGAP4 KIAA0131 RGC1 RHOGAP4	Homo sapiens (Human)
Q6PJ34	Q6PJ34_HUMAN	ARHGAP4	Homo sapiens (Human)
S4R314	S4R314_HUMAN	ARHGAP4	Homo sapiens (Human)
S4R352	S4R352_HUMAN	ARHGAP4	Homo sapiens (Human)
A0A024R0R1	A0A024R0R1_HUMAN	ARHGEF1 hCG_22327	Homo sapiens (Human)
M0QXV6	M0QXV6_HUMAN	ARHGEF1	Homo sapiens (Human)
M0QYC1	M0QYC1_HUMAN	ARHGEF1	Homo sapiens (Human)
M0QYS3	M0QYS3_HUMAN	ARHGEF1	Homo sapiens (Human)
M0QZH8	M0QZH8_HUMAN	ARHGEF1	Homo sapiens (Human)
M0QZR4	M0QZR4_HUMAN	ARHGEF1	Homo sapiens (Human)
M0R1K8	M0R1K8_HUMAN	ARHGEF1	Homo sapiens (Human)
M0R2C7	M0R2C7_HUMAN	ARHGEF1	Homo sapiens (Human)
M0R3H5	M0R3H5_HUMAN	ARHGEF1	Homo sapiens (Human)
Q49AN3	Q49AN3_HUMAN	ARHGEF1	Homo sapiens (Human)
Q92888	ARHG1_HUMAN	ARHGEF1	Homo sapiens (Human)
O15085	ARHGB_HUMAN	ARHGEF11 KIAA0380	Homo sapiens (Human)
E9PMR6	E9PMR6_HUMAN	ARHGEF12	Homo sapiens (Human)
Q9NZN5	ARHGC_HUMAN	ARHGEF12 KIAA0382 LARG	Homo sapiens (Human)
B0QZD3	B0QZD3_HUMAN	ARHGEF16	Homo sapiens (Human)
B0QZD4	B0QZD4_HUMAN	ARHGEF16	Homo sapiens (Human)
L8EAP0	L8EAP0_HUMAN	ARHGEF16	Homo sapiens (Human)
Q5VV41	ARHGG_HUMAN	ARHGEF16 EPHEXIN4 NBR	Homo sapiens (Human)
H0YFZ8	H0YFZ8_HUMAN	ARHGEF17	Homo sapiens (Human)
Q96PE2	ARHGH_HUMAN	ARHGEF17 KIAA0337 TEM4	Homo sapiens (Human)
M0QZS0	M0QZS0_HUMAN	ARHGEF18	Homo sapiens (Human)
M0R125	M0R125_HUMAN	ARHGEF18	Homo sapiens (Human)
Q6ZSZ5	ARHGI_HUMAN	ARHGEF18 KIAA0521	Homo sapiens (Human)
A0A1Y8EN19	A0A1Y8EN19_HUMAN	ARHGEF2	Homo sapiens (Human)
D3DVA5	D3DVA5_HUMAN	ARHGEF2 hCG_1996334	Homo sapiens (Human)
Q5VY93	Q5VY93_HUMAN	ARHGEF2	Homo sapiens (Human)
Q92974	ARHG2_HUMAN	ARHGEF2 KIAA0651 LFP40	Homo sapiens (Human)
V9GY94	V9GY94_HUMAN	ARHGEF2	Homo sapiens (Human)
V9GYF0	V9GYF0_HUMAN	ARHGEF2	Homo sapiens (Human)
V9GYF5	V9GYF5_HUMAN	ARHGEF2	Homo sapiens (Human)
V9GYG5	V9GYG5_HUMAN	ARHGEF2	Homo sapiens (Human)
V9GYM8	V9GYM8_HUMAN	ARHGEF2	Homo sapiens (Human)
V9GZ14	V9GZ14_HUMAN	ARHGEF2	Homo sapiens (Human)
V9GZ58	V9GZ58_HUMAN	ARHGEF2	Homo sapiens (Human)
Q86VW2	ARHGP_HUMAN	ARHGEF25 GEFT	Homo sapiens (Human)
C9J586	C9J586_HUMAN	ARHGEF3	Homo sapiens (Human)
C9J5K8	C9J5K8_HUMAN	ARHGEF3	Homo sapiens (Human)
C9J609	C9J609_HUMAN	ARHGEF3	Homo sapiens (Human)
C9JNF2	C9JNF2_HUMAN	ARHGEF3	Homo sapiens (Human)
E7EU49	E7EU49_HUMAN	ARHGEF3	Homo sapiens (Human)
E9PG37	E9PG37_HUMAN	ARHGEF3	Homo sapiens (Human)
F8WC29	F8WC29_HUMAN	ARHGEF3	Homo sapiens (Human)
F8WDB7	F8WDB7_HUMAN	ARHGEF3	Homo sapiens (Human)
H7C4P0	H7C4P0_HUMAN	ARHGEF3	Homo sapiens (Human)
Q9NR81	ARHG3_HUMAN	ARHGEF3	Homo sapiens (Human)
A0A087X0P1	A0A087X0P1_HUMAN	ARHGEF4	Homo sapiens (Human)
A0A0C4DFY6	A0A0C4DFY6_HUMAN	ARHGEF4	Homo sapiens (Human)
A0A1B0GW00	A0A1B0GW00_HUMAN	ARHGEF4	Homo sapiens (Human)
A4QPB6	A4QPB6_HUMAN	ARHGEF4	Homo sapiens (Human)
E7EV07	E7EV07_HUMAN	ARHGEF4	Homo sapiens (Human)
E9PEM0	E9PEM0_HUMAN	ARHGEF4	Homo sapiens (Human)
H0Y451	H0Y451_HUMAN	ARHGEF4	Homo sapiens (Human)
H0YCT6	H0YCT6_HUMAN	ARHGEF4	Homo sapiens (Human)
Q53QF2	Q53QF2_HUMAN	ARHGEF4	Homo sapiens (Human)
Q53TH6	Q53TH6_HUMAN	ARHGEF4	Homo sapiens (Human)
Q9NR80	ARHG4_HUMAN	ARHGEF4 KIAA1112	Homo sapiens (Human)
Q15052	ARHG6_HUMAN	ARHGEF6 COOL2 KIAA0006 PIXA	Homo sapiens (Human)
A0A096LNK4	A0A096LNK4_HUMAN	ARHGEF9	Homo sapiens (Human)
A0A096LNK7	A0A096LNK7_HUMAN	ARHGEF9	Homo sapiens (Human)
A0A096LNQ4	A0A096LNQ4_HUMAN	ARHGEF9	Homo sapiens (Human)
A0A096LNY0	A0A096LNY0_HUMAN	ARHGEF9	Homo sapiens (Human)
A0A096LP05	A0A096LP05_HUMAN	ARHGEF9	Homo sapiens (Human)
A0A096LPE7	A0A096LPE7_HUMAN	ARHGEF9	Homo sapiens (Human)
A0A096LPI8	A0A096LPI8_HUMAN	ARHGEF9	Homo sapiens (Human)
A0A0A6YYB3	A0A0A6YYB3_HUMAN	ARHGEF9	Homo sapiens (Human)
A0A0A6YYF8	A0A0A6YYF8_HUMAN	ARHGEF9	Homo sapiens (Human)
A0A1B0GTC2	A0A1B0GTC2_HUMAN	ARHGEF9	Homo sapiens (Human)
A0A1B0GTF0	A0A1B0GTF0_HUMAN	ARHGEF9	Homo sapiens (Human)
A0A1B0GU85	A0A1B0GU85_HUMAN	ARHGEF9	Homo sapiens (Human)
A0A1B0GV82	A0A1B0GV82_HUMAN	ARHGEF9	Homo sapiens (Human)
A0A1B0GV84	A0A1B0GV84_HUMAN	ARHGEF9	Homo sapiens (Human)
A0A1B0GVC4	A0A1B0GVC4_HUMAN	ARHGEF9	Homo sapiens (Human)
A0A1B0GVV2	A0A1B0GVV2_HUMAN	ARHGEF9	Homo sapiens (Human)
A0A1B0GVX8	A0A1B0GVX8_HUMAN	ARHGEF9	Homo sapiens (Human)
A0A1B0GWI5	A0A1B0GWI5_HUMAN	ARHGEF9	Homo sapiens (Human)
A0A1W2PQW9	A0A1W2PQW9_HUMAN	ARHGEF9	Homo sapiens (Human)
B1AMR3	B1AMR3_HUMAN	ARHGEF9	Homo sapiens (Human)
B1AMR4	B1AMR4_HUMAN	ARHGEF9 hCG_17692	Homo sapiens (Human)
O43307	ARHG9_HUMAN	ARHGEF9 ARHDH9 KIAA0424	Homo sapiens (Human)
P01185	NEU2_HUMAN	AVP ARVP VP	Homo sapiens (Human)
Q9HB76	Q9HB76_HUMAN	AVP	Homo sapiens (Human)
Q9UMM9	Q9UMM9_HUMAN	AVP	Homo sapiens (Human)
S6BQ34	S6BQ34_HUMAN	AVP	Homo sapiens (Human)
X5D8U4	X5D8U4_HUMAN	AVP	Homo sapiens (Human)
X5DQP6	X5DQP6_HUMAN	AVP hCG_39618	Homo sapiens (Human)
F8VW98	F8VW98_HUMAN	AVPR1A	Homo sapiens (Human)
P37288	V1AR_HUMAN	AVPR1A AVPR1	Homo sapiens (Human)
X5D2B0	X5D2B0_HUMAN	AVPR1A	Homo sapiens (Human)
X5D789	X5D789_HUMAN	AVPR1A	Homo sapiens (Human)
P47901	V1BR_HUMAN	AVPR1B AVPR3 VPR3	Homo sapiens (Human)
C9JV81	C9JV81_HUMAN	AVPR2	Homo sapiens (Human)
F8WET1	F8WET1_HUMAN	AVPR2	Homo sapiens (Human)
P30518	V2R_HUMAN	AVPR2 ADHR DIR DIR3 V2R	Homo sapiens (Human)
G3V4Y2	G3V4Y2_HUMAN	BDKRB1	Homo sapiens (Human)
P46663	BKRB1_HUMAN	BDKRB1 BRADYB1	Homo sapiens (Human)
A0A075E6Y0	A0A075E6Y0_HUMAN	BDKRB2 BDKRB1	Homo sapiens (Human)
L8EC45	L8EC45_HUMAN	BDKRB2	Homo sapiens (Human)
P30411	BKRB2_HUMAN	BDKRB2 BKR2	Homo sapiens (Human)
P32247	BRS3_HUMAN	BRS3	Homo sapiens (Human)
M0QXZ3	M0QXZ3_HUMAN	C3	Homo sapiens (Human)
M0QYC8	M0QYC8_HUMAN	C3	Homo sapiens (Human)
M0R0Q9	M0R0Q9_HUMAN	C3	Homo sapiens (Human)
M0R1Q1	M0R1Q1_HUMAN	C3	Homo sapiens (Human)
P01024	CO3_HUMAN	C3 CPAMD1	Homo sapiens (Human)
A8K2H7	A8K2H7_HUMAN	C3AR1 hCG_22220	Homo sapiens (Human)
F5GZE6	F5GZE6_HUMAN	C3AR1	Homo sapiens (Human)
Q16581	C3AR_HUMAN	C3AR1 AZ3B C3R1 HNFAG09	Homo sapiens (Human)
P01031	CO5_HUMAN	C5 CPAMD4	Homo sapiens (Human)
U6BZC6	U6BZC6_HUMAN	C5	Homo sapiens (Human)
M0QZK7	M0QZK7_HUMAN	C5AR1	Homo sapiens (Human)
P21730	C5AR1_HUMAN	C5AR1 C5AR C5R1	Homo sapiens (Human)
P01258	CALC_HUMAN	CALCA CALC1	Homo sapiens (Human)
P06881	CALCA_HUMAN	CALCA CALC1	Homo sapiens (Human)
E7ESF5	E7ESF5_HUMAN	CALCB	Homo sapiens (Human)
P10092	CALCB_HUMAN	CALCB CALC2	Homo sapiens (Human)
B8ZZJ4	B8ZZJ4_HUMAN	CALCRL	Homo sapiens (Human)
D3DPG9	D3DPG9_HUMAN	CALCRL hCG_22606	Homo sapiens (Human)
E7EN01	E7EN01_HUMAN	CALCRL	Homo sapiens (Human)
Q16602	CALRL_HUMAN	CALCRL CGRPR	Homo sapiens (Human)
A0A1X7SBX3	A0A1X7SBX3_HUMAN	CASR	Homo sapiens (Human)
B6VB31	B6VB31_HUMAN	CASR	Homo sapiens (Human)
E7ENE0	E7ENE0_HUMAN	CASR	Homo sapiens (Human)
P41180	CASR_HUMAN	CASR GPRC2A PCAR1	Homo sapiens (Human)
