Entry	Entry name	Gene names	Organism
A0A0D9SGD7	A0A0D9SGD7_HUMAN	ABR	Homo sapiens (Human)
A0A0G2JQ41	A0A0G2JQ41_HUMAN	ABR	Homo sapiens (Human)
A0A0G2JQM3	A0A0G2JQM3_HUMAN	ABR	Homo sapiens (Human)
A0A0G2JQT5	A0A0G2JQT5_HUMAN	ABR	Homo sapiens (Human)
A0A0G2JRC2	A0A0G2JRC2_HUMAN	ABR	Homo sapiens (Human)
A0A0G2JRJ1	A0A0G2JRJ1_HUMAN	ABR	Homo sapiens (Human)
A0A0G2JRW2	A0A0G2JRW2_HUMAN	ABR	Homo sapiens (Human)
A0A0G2JSE0	A0A0G2JSE0_HUMAN	ABR	Homo sapiens (Human)
A0A1C7CYZ0	A0A1C7CYZ0_HUMAN	ABR	Homo sapiens (Human)
B7Z683	B7Z683_HUMAN	ABR	Homo sapiens (Human)
I3L0R7	I3L0R7_HUMAN	ABR	Homo sapiens (Human)
I3L1U8	I3L1U8_HUMAN	ABR	Homo sapiens (Human)
I3L259	I3L259_HUMAN	ABR	Homo sapiens (Human)
I3L2C0	I3L2C0_HUMAN	ABR	Homo sapiens (Human)
I3L2L3	I3L2L3_HUMAN	ABR	Homo sapiens (Human)
I3L2P5	I3L2P5_HUMAN	ABR	Homo sapiens (Human)
I3L379	I3L379_HUMAN	ABR	Homo sapiens (Human)
I3L3W0	I3L3W0_HUMAN	ABR	Homo sapiens (Human)
I3L4Y1	I3L4Y1_HUMAN	ABR	Homo sapiens (Human)
I3NI05	I3NI05_HUMAN	ABR	Homo sapiens (Human)
Q12979	ABR_HUMAN	ABR	Homo sapiens (Human)
C9J1J0	C9J1J0_HUMAN	ADCY1 hCG_19245	Homo sapiens (Human)
D3DVL8	D3DVL8_HUMAN	ADCY1 hCG_19245	Homo sapiens (Human)
L0R809	L0R809_HUMAN	ADCY1	Homo sapiens (Human)
Q08828	ADCY1_HUMAN	ADCY1	Homo sapiens (Human)
Q8NFM5	Q8NFM5_HUMAN	ADCY1	Homo sapiens (Human)
D6REB8	D6REB8_HUMAN	ADCY2	Homo sapiens (Human)
H0YA58	H0YA58_HUMAN	ADCY2	Homo sapiens (Human)
Q08462	ADCY2_HUMAN	ADCY2 KIAA1060	Homo sapiens (Human)
Q7RTV6	Q7RTV6_HUMAN	ADCY2	Homo sapiens (Human)
A0A0A0MSC1	A0A0A0MSC1_HUMAN	ADCY3	Homo sapiens (Human)
B7ZLX9	B7ZLX9_HUMAN	ADCY3	Homo sapiens (Human)
C9J969	C9J969_HUMAN	ADCY3	Homo sapiens (Human)
C9JLX3	C9JLX3_HUMAN	ADCY3	Homo sapiens (Human)
C9JYB5	C9JYB5_HUMAN	ADCY3	Homo sapiens (Human)
H7C1A6	H7C1A6_HUMAN	ADCY3	Homo sapiens (Human)
H7C1S5	H7C1S5_HUMAN	ADCY3	Homo sapiens (Human)
O60266	ADCY3_HUMAN	ADCY3 KIAA0511	Homo sapiens (Human)
U3KQ91	U3KQ91_HUMAN	ADCY3	Homo sapiens (Human)
U3KQR1	U3KQR1_HUMAN	ADCY3	Homo sapiens (Human)
G3V258	G3V258_HUMAN	ADCY4	Homo sapiens (Human)
G3V262	G3V262_HUMAN	ADCY4	Homo sapiens (Human)
H0YJ57	H0YJ57_HUMAN	ADCY4	Homo sapiens (Human)
H0YLM0	H0YLM0_HUMAN	ADCY4	Homo sapiens (Human)
H0YN72	H0YN72_HUMAN	ADCY4	Homo sapiens (Human)
Q8NFM4	ADCY4_HUMAN	ADCY4	Homo sapiens (Human)
Q96KY6	Q96KY6_HUMAN	ADCY4	Homo sapiens (Human)
B3KWA8	B3KWA8_HUMAN	ADCY5	Homo sapiens (Human)
C9JQ38	C9JQ38_HUMAN	ADCY5	Homo sapiens (Human)
C9JRT8	C9JRT8_HUMAN	ADCY5	Homo sapiens (Human)
F8WBM0	F8WBM0_HUMAN	ADCY5	Homo sapiens (Human)
O95622	ADCY5_HUMAN	ADCY5	Homo sapiens (Human)
F8VZJ5	F8VZJ5_HUMAN	ADCY6	Homo sapiens (Human)
O43306	ADCY6_HUMAN	ADCY6 KIAA0422	Homo sapiens (Human)
F5H4D1	F5H4D1_HUMAN	ADCY7	Homo sapiens (Human)
F5H699	F5H699_HUMAN	ADCY7	Homo sapiens (Human)
H3BMA5	H3BMA5_HUMAN	ADCY7	Homo sapiens (Human)
H3BQ93	H3BQ93_HUMAN	ADCY7	Homo sapiens (Human)
I3L2Y1	I3L2Y1_HUMAN	ADCY7	Homo sapiens (Human)
I3L3Q5	I3L3Q5_HUMAN	ADCY7	Homo sapiens (Human)
P51828	ADCY7_HUMAN	ADCY7 KIAA0037	Homo sapiens (Human)
A0A0K0K1K3	A0A0K0K1K3_HUMAN	HEL-S-172mP ADCY8 hCG_2008967	Homo sapiens (Human)
E5RFR2	E5RFR2_HUMAN	ADCY8	Homo sapiens (Human)
E7EVL1	E7EVL1_HUMAN	ADCY8	Homo sapiens (Human)
L8E7I7	L8E7I7_HUMAN	ADCY8	Homo sapiens (Human)
P40145	ADCY8_HUMAN	ADCY8	Homo sapiens (Human)
Q4F7X0	Q4F7X0_HUMAN	ADCY8	Homo sapiens (Human)
I3L300	I3L300_HUMAN	ADCY9	Homo sapiens (Human)
I3L342	I3L342_HUMAN	ADCY9	Homo sapiens (Human)
I3NI20	I3NI20_HUMAN	ADCY9	Homo sapiens (Human)
L0R6C2	L0R6C2_HUMAN	ADCY9	Homo sapiens (Human)
O60503	ADCY9_HUMAN	ADCY9 KIAA0520	Homo sapiens (Human)
D6RU84	D6RU84_HUMAN	ADCYAP1	Homo sapiens (Human)
P18509	PACA_HUMAN	ADCYAP1	Homo sapiens (Human)
Q53BH1	Q53BH1_HUMAN	ADCYAP1	Homo sapiens (Human)
A0A090N8F8	A0A090N8F8_HUMAN	ADCYAP1R1 tcag7.689	Homo sapiens (Human)
C9JVH3	C9JVH3_HUMAN	ADCYAP1R1	Homo sapiens (Human)
E9PFU5	E9PFU5_HUMAN	ADCYAP1R1	Homo sapiens (Human)
H0Y813	H0Y813_HUMAN	ADCYAP1R1	Homo sapiens (Human)
P41586	PACR_HUMAN	ADCYAP1R1	Homo sapiens (Human)
Q6RKA2	Q6RKA2_HUMAN	ADCYAP1R1	Homo sapiens (Human)
Q6RKA3	Q6RKA3_HUMAN	ADCYAP1R1	Homo sapiens (Human)
Q6S991	Q6S991_HUMAN	ADCYAP1R1	Homo sapiens (Human)
Q6S992	Q6S992_HUMAN	ADCYAP1R1	Homo sapiens (Human)
E9PL83	E9PL83_HUMAN	ADM	Homo sapiens (Human)
E9PML4	E9PML4_HUMAN	ADM	Homo sapiens (Human)
E9PQE6	E9PQE6_HUMAN	ADM	Homo sapiens (Human)
E9PQT2	E9PQT2_HUMAN	ADM	Homo sapiens (Human)
P35318	ADML_HUMAN	ADM AM	Homo sapiens (Human)
Q7Z4H4	ADM2_HUMAN	ADM2 AM2	Homo sapiens (Human)
A0A087X173	A0A087X173_HUMAN	ADORA1	Homo sapiens (Human)
P30542	AA1R_HUMAN	ADORA1	Homo sapiens (Human)
S5RC53	S5RC53_HUMAN	ADORA1	Homo sapiens (Human)
C9J0Z4	C9J0Z4_HUMAN	ADORA2A	Homo sapiens (Human)
C9J3T2	C9J3T2_HUMAN	ADORA2A	Homo sapiens (Human)
C9JFS2	C9JFS2_HUMAN	ADORA2A	Homo sapiens (Human)
C9JQD8	C9JQD8_HUMAN	ADORA2A	Homo sapiens (Human)
P29274	AA2AR_HUMAN	ADORA2A ADORA2	Homo sapiens (Human)
S4R2Z8	S4R2Z8_HUMAN	ADORA2A	Homo sapiens (Human)
S4R3A7	S4R3A7_HUMAN	ADORA2A	Homo sapiens (Human)
S4R429	S4R429_HUMAN	ADORA2A	Homo sapiens (Human)
X5DNB4	X5DNB4_HUMAN	ADORA2A	Homo sapiens (Human)
A0MCH9	A0MCH9_HUMAN	ADORA2B	Homo sapiens (Human)
P29275	AA2BR_HUMAN	ADORA2B	Homo sapiens (Human)
Q2L7J7	Q2L7J7_HUMAN	ADORA2B	Homo sapiens (Human)
A0A0J9YWR0	A0A0J9YWR0_HUMAN	ADORA3	Homo sapiens (Human)
P0DMS8	AA3R_HUMAN	ADORA3	Homo sapiens (Human)
B0ZBD3	B0ZBD3_HUMAN	ADRA1A	Homo sapiens (Human)
E7EW16	E7EW16_HUMAN	ADRA1A	Homo sapiens (Human)
P35348	ADA1A_HUMAN	ADRA1A ADRA1C	Homo sapiens (Human)
A0A286YF88	A0A286YF88_HUMAN	ADRA1B	Homo sapiens (Human)
P35368	ADA1B_HUMAN	ADRA1B	Homo sapiens (Human)
B0ZBE0	B0ZBE0_HUMAN	ADRA1D hCG_1646223	Homo sapiens (Human)
P25100	ADA1D_HUMAN	ADRA1D ADRA1A	Homo sapiens (Human)
P08913	ADA2A_HUMAN	ADRA2A ADRA2R ADRAR	Homo sapiens (Human)
L8E8D5	L8E8D5_HUMAN	ADRA2B	Homo sapiens (Human)
P18089	ADA2B_HUMAN	ADRA2B ADRA2L1 ADRA2RL1	Homo sapiens (Human)
P08588	ADRB1_HUMAN	ADRB1 ADRB1R B1AR	Homo sapiens (Human)
A2N4T7	A2N4T7_HUMAN	ADRB2	Homo sapiens (Human)
P07550	ADRB2_HUMAN	ADRB2 ADRB2R B2AR	Homo sapiens (Human)
Q9BYZ0	Q9BYZ0_HUMAN	ADRB2	Homo sapiens (Human)
X5DQM5	X5DQM5_HUMAN	ADRB2	Homo sapiens (Human)
A8KAG8	A8KAG8_HUMAN	ADRB3 hCG_21141	Homo sapiens (Human)
B8X6N0	B8X6N0_HUMAN	ADRB3	Homo sapiens (Human)
B8X6N1	B8X6N1_HUMAN	ADRB3	Homo sapiens (Human)
P13945	ADRB3_HUMAN	ADRB3 ADRB3R B3AR	Homo sapiens (Human)
A0A0S2Z392	A0A0S2Z392_HUMAN	ADRBK1	Homo sapiens (Human)
A0A0S2Z3I6	A0A0S2Z3I6_HUMAN	ADRBK1	Homo sapiens (Human)
P25098	ARBK1_HUMAN	GRK2 ADRBK1 BARK BARK1	Homo sapiens (Human)
A7L3A1	A7L3A1_HUMAN	AGT	Homo sapiens (Human)
A7L3A2	A7L3A2_HUMAN	AGT	Homo sapiens (Human)
A7L3A3	A7L3A3_HUMAN	AGT	Homo sapiens (Human)
A7L3A4	A7L3A4_HUMAN	AGT	Homo sapiens (Human)
A7L3A5	A7L3A5_HUMAN	AGT	Homo sapiens (Human)
B0ZBE2	B0ZBE2_HUMAN	AGT hFLT1 hCG_14741	Homo sapiens (Human)
P01019	ANGT_HUMAN	AGT SERPINA8	Homo sapiens (Human)
Q53YY1	Q53YY1_HUMAN	AGT	Homo sapiens (Human)
A0A0A0MSE3	A0A0A0MSE3_HUMAN	AGTR1 hCG_2022206	Homo sapiens (Human)
D3DNG8	D3DNG8_HUMAN	AGTR1 hCG_2022206	Homo sapiens (Human)
P30556	AGTR1_HUMAN	AGTR1 AGTR1A AGTR1B AT2R1 AT2R1B	Homo sapiens (Human)
Q53YY0	Q53YY0_HUMAN	AGTR1 hCG_2022206	Homo sapiens (Human)
Q6NUP5	Q6NUP5_HUMAN	AGTR1	Homo sapiens (Human)
P50052	AGTR2_HUMAN	AGTR2	Homo sapiens (Human)
A0A087WTD7	A0A087WTD7_HUMAN	AKAP13	Homo sapiens (Human)
A0A087WX73	A0A087WX73_HUMAN	AKAP13	Homo sapiens (Human)
A0A087WY36	A0A087WY36_HUMAN	AKAP13	Homo sapiens (Human)
A0A087WYS7	A0A087WYS7_HUMAN	AKAP13	Homo sapiens (Human)
A0A087X047	A0A087X047_HUMAN	AKAP13	Homo sapiens (Human)
A8MYJ1	A8MYJ1_HUMAN	AKAP13	Homo sapiens (Human)
B7ZW05	B7ZW05_HUMAN	AKAP13	Homo sapiens (Human)
H0YK18	H0YK18_HUMAN	AKAP13	Homo sapiens (Human)
H0YK84	H0YK84_HUMAN	AKAP13	Homo sapiens (Human)
H0YLH1	H0YLH1_HUMAN	AKAP13	Homo sapiens (Human)
H0YMI5	H0YMI5_HUMAN	AKAP13	Homo sapiens (Human)
H0YMW2	H0YMW2_HUMAN	AKAP13	Homo sapiens (Human)
Q12802	AKP13_HUMAN	AKAP13 BRX HT31 LBC	Homo sapiens (Human)
A0A087WY56	A0A087WY56_HUMAN	AKT1	Homo sapiens (Human)
A0A0S2Z3D6	A0A0S2Z3D6_HUMAN	AKT1	Homo sapiens (Human)
A0A142IKA9	A0A142IKA9_HUMAN	AKT1	Homo sapiens (Human)
B0LPE5	B0LPE5_HUMAN	AKT1 hCG_96740	Homo sapiens (Human)
G3V2I6	G3V2I6_HUMAN	AKT1	Homo sapiens (Human)
G3V3X1	G3V3X1_HUMAN	AKT1	Homo sapiens (Human)
G3V4I6	G3V4I6_HUMAN	AKT1	Homo sapiens (Human)
P31749	AKT1_HUMAN	AKT1 PKB RAC	Homo sapiens (Human)
X2CV47	X2CV47_HUMAN	AKT1	Homo sapiens (Human)
X2CVF3	X2CVF3_HUMAN	AKT1	Homo sapiens (Human)
A0A0A0MRF1	A0A0A0MRF1_HUMAN	AKT2	Homo sapiens (Human)
A0A0U4CQG9	A0A0U4CQG9_HUMAN	AKT2	Homo sapiens (Human)
A0A1B0GXA2	A0A1B0GXA2_HUMAN	AKT2	Homo sapiens (Human)
A8MX96	A8MX96_HUMAN	AKT2	Homo sapiens (Human)
C9J258	C9J258_HUMAN	AKT2	Homo sapiens (Human)
C9JC83	C9JC83_HUMAN	AKT2	Homo sapiens (Human)
C9JHS6	C9JHS6_HUMAN	AKT2	Homo sapiens (Human)
C9JIF6	C9JIF6_HUMAN	AKT2	Homo sapiens (Human)
C9JIJ1	C9JIJ1_HUMAN	AKT2	Homo sapiens (Human)
E7EVP8	E7EVP8_HUMAN	AKT2	Homo sapiens (Human)
