source	target	is_directed	is_stimulation	is_inhibition	dip_url
P12931	P07948	1	0	0	
P07948	Q03405	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=617
Q03405	P07948	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=617
P07948	O75807	1	1	0	
P07948	P08047	1	0	0	
P00533	P07948	1	0	0	
P07948	P00533	1	1	0	
P07948	P29353	1	1	0	
P24941	P07948	1	0	0	
P07948	P78352	1	0	0	
P78352	P07948	1	0	0	
P07948	P19174	1	1	0	
P07948	P33993	1	0	0	
P07948	P27361	1	1	0	
P27361	P07948	1	1	0	
P07948	P16410	1	0	0	
P16410	P07948	1	0	0	
P07948	P16885	1	0	0	
P16885	P07948	1	0	0	
P07948	P42229	1	1	0	
P42229	P07948	1	0	0	
P07948	P37840	1	1	0	
P07948	P42574	1	0	0	
O60674	P07948	1	0	0	
P07948	O60674	1	0	0	
P07948	Q9Y6R1	1	0	0	
P07948	P42679	1	0	0	
P42679	P07948	1	0	0	
P07948	P55210	1	0	0	
P07948	P15391	1	1	0	
P18433	P07948	1	0	0	
Q99759	P07948	1	0	0	
P07948	Q9ULV8	1	0	0	
P07948	Q9UQC2	1	1	0	
Q9UQC2	P07948	1	0	0	
P07948	P48736	1	1	0	
P48736	P07948	1	0	0	
P07948	Q9Y6Y9	1	0	0	
P07948	P43405	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=739
P43405	P07948	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=739
P07948	P68400	1	0	0	
P07948	Q9UN19	1	1	0	
Q12913	P07948	1	0	0	
P07948	P61978	1	1	0	
P07948	P30419	1	0	0	
P07948	P56945	1	1	0	
P07948	P41143	1	0	0	
P07948	Q99704	1	1	0	
Q99704	P07948	1	0	0	
P07948	Q13480	1	1	0	
P07948	P25490	1	0	0	
P07333	P07948	1	0	0	
P07948	P14317	1	1	0	
P14317	P07948	1	0	0	
P07948	Q13094	1	0	0	
P07948	P16284	1	0	0	
P07948	P15941	1	0	0	
P07948	Q92569	1	1	0	
P07948	P11137	1	1	0	
P07948	O43823	1	0	0	
P07948	P14784	1	0	0	
P07948	Q86WV1	1	0	0	
P07948	Q92918	1	0	0	
Q92918	P07948	1	0	0	
P07948	Q13291	1	1	0	
P07948	O14920	1	0	0	
P07948	P67870	1	0	0	
P67870	P07948	1	0	0	
P07948	P55211	1	0	0	
P07948	P42680	1	0	0	
P42680	P07948	1	0	0	
P07948	Q05655	1	1	0	
Q05655	P07948	1	1	0	
P07948	O15492	1	1	0	
P07948	Q14643	1	1	0	
P07948	Q08499	1	0	0	
P06493	P07948	1	0	0	
P07948	P06493	1	0	0	
P07948	P46527	1	0	1	
P02730	P07948	1	0	0	
P07948	P02730	1	1	0	
P07948	P78527	1	0	0	
P78527	P07948	1	0	0	
P07948	P22681	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=524
P22681	P07948	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=524
P07948	P10721	1	1	0	
P10721	P07948	1	1	0	
P07948	Q13370	1	0	0	
P07948	O60500	1	0	0	
P07948	Q9NYA1	1	1	0	
P07948	Q9NWQ8	1	0	0	
Q9NWQ8	P07948	1	0	1	
P07948	P12318	1	1	0	
P12318	P07948	1	0	0	
P07948	P08473	1	0	0	
P07948	Q12972	1	0	0	
P07948	P16671	1	0	0	
P07948	Q9HBA0	1	1	0	
P07948	P20273	1	1	0	
P07948	P19235	1	1	0	
P19235	P07948	1	0	0	
P07948	Q71U36	1	1	0	
P07948	Q99062	1	0	0	
P07948	P60709	1	0	0	
P07948	P20936	1	0	0	
P20936	P07948	1	1	0	
P07948	P27635	1	0	0	
P07948	P15509	1	0	0	
P07948	P16871	1	0	0	
P07948	Q07666	1	0	0	
P07948	P40259	1	1	0	
P40259	P07948	1	0	0	
P07948	P0CG47	1	0	0	
P07948	P0CG48	0	0	0	
P07948	O60711	1	0	0	
P07948	P30273	1	1	0	
P30273	P07948	1	0	0	
P07948	Q01362	1	1	0	
Q01362	P07948	1	0	0	
P07948	P21854	1	0	0	
P07948	P24071	1	0	0	
P07948	P31994	1	1	0	
P31994	P07948	1	0	0	
P07948	P27815	1	0	0	
P07948	Q13432	1	0	0	
P07948	Q92835	1	0	0	
Q92835	P07948	1	0	0	
P07948	Q14511	1	1	0	
P07948	O14492	1	0	0	
P07948	P11168	1	0	0	
P07948	O60496	1	0	0	
P07948	P11836	1	1	0	
P07948	P11912	1	1	0	
P11912	P07948	1	0	0	
P07948	P30443	1	0	0	
P07948	P31995	1	1	0	
P07948	Q9UI08	1	0	0	
P07948	Q9H400	1	1	0	
P07948	Q96QH2	1	0	0	
P07948	O75563	1	0	0	
P07948	Q7L591	1	0	0	
P07948	P25063	1	0	0	
P07948	Q6PIZ9	1	0	0	
P07948	P15328	1	0	0	
P07948	Q8WWW8	1	0	0	
P07948	Q9UKJ0	1	0	0	
P07948	Q8NDB2	1	1	0	
P07948	Q15642	1	0	0	
P07948	P42263	1	0	0	
P07948	Q9HCN6	1	0	0	
Q9HCN6	P07948	1	0	0	
P07948	Q9UFY1	1	0	0	
P07948	A8K379	1	0	0	
P07948	Q4LE43	1	0	0	
P10275	Q14790	1	0	0	
Q14790	P10275	1	0	1	
P21333	P10275	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10899
Q13043	P10275	1	0	0	
P56524	P10275	1	0	1	
Q13547	P10275	1	0	0	
P10275	P78317	1	0	0	
P10275	Q15788	1	0	0	
Q92793	P10275	1	1	0	
Q9UER7	P10275	1	0	1	
Q04206	P10275	1	0	1	
Q13485	P10275	1	1	0	
P10275	O15519	1	1	0	
P10275	P19793	1	1	0	
P19793	P10275	1	1	0	
P10275	P40763	1	0	0	
P40763	P10275	1	0	1	
Q16665	P10275	1	0	0	
P10275	P84022	1	0	0	
P84022	P10275	1	1	1	
P10275	P40189	1	0	0	
P40189	P10275	1	0	0	
P03372	P10275	1	1	0	
P10275	P03372	1	1	0	
P10275	P49023	1	0	0	
P49023	P10275	1	0	0	
P10275	O75925	1	0	0	
P10275	Q13772	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10783
Q13772	P10275	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10783
P10275	P30305	1	0	0	
P10275	P27986	1	1	0	
P27986	P10275	1	0	0	
O43294	P10275	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10651
P10275	O43294	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10651
P10275	P12931	1	0	0	
P12931	P10275	1	1	0	
P04150	P10275	1	1	0	
P10275	P04150	1	1	1	
P10275	Q09472	1	0	0	
Q09472	P10275	1	1	0	
P35869	P10275	1	1	0	
Q92993	P10275	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10885
P08047	P10275	1	0	0	
P10275	P08047	1	0	0	
P07900	P10275	1	1	0	
P10275	P35222	1	1	1	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=66514
P35222	P10275	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=66514
P00533	P10275	1	0	0	
P10275	P00533	1	1	0	
P10275	Q9Y618	1	0	0	
Q9Y618	P10275	1	1	1	
P04637	P10275	1	0	1	
P51843	P10275	1	0	1	
P10275	P06400	1	0	0	
P10275	Q9Y6X2	1	0	0	
Q9Y6X2	P10275	1	0	0	
P10275	Q15596	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10884
Q15596	P10275	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10884
P10275	Q9HBE1	1	0	0	
Q9HBE1	P10275	1	0	0	
P10275	P05783	1	1	0	
P10275	Q14192	1	1	0	
Q14192	P10275	1	1	0	
P45983	P10275	1	1	0	
P15884	P10275	1	0	1	
P10275	P17936	1	1	0	
P10275	P42574	1	1	0	
P42574	P10275	1	1	0	
O96028	P10275	1	1	0	
P10275	P50750	1	0	0	
P50750	P10275	1	0	0	
O43293	P10275	1	1	0	
P10275	P41161	1	0	0	
P41161	P10275	1	0	0	
Q00535	P10275	1	1	0	
P10275	Q13794	1	1	0	
P28482	P10275	1	1	1	
P10275	P24385	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10815
P10275	P08253	1	1	0	
P10275	P24864	1	0	0	
P10275	P42575	1	0	1	
P10275	Q9UQ80	1	0	0	
Q9UQ80	P10275	1	0	1	
P10275	Q15466	1	0	0	
Q15466	P10275	1	1	1	
P10275	P38398	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10890
P38398	P10275	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10890
O14965	P10275	1	0	1	
P50613	P10275	1	0	1	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10879
P10275	P60484	1	0	0	
P60484	P10275	1	0	1	
O95251	P10275	1	1	0	
P10275	O95251	1	0	0	
P10275	P62826	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10649
P62826	P10275	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10649
P10275	P05412	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10798
P10275	P12235	1	0	0	
P12235	P10275	1	0	0	
P10275	Q12778	1	1	1	
Q12778	P10275	1	1	1	
Q9UKW4	P10275	1	1	0	
P10275	Q06830	1	0	0	
Q06830	P10275	1	1	0	
P10275	Q9UKG1	1	0	0	
Q9UKG1	P10275	1	0	0	
O60341	P10275	1	1	0	
P16591	P10275	1	1	0	
P10275	Q13950	1	0	0	
Q96EB6	P10275	1	1	0	
Q14686	P10275	1	1	0	
P04406	P10275	1	1	0	
Q16512	P10275	1	1	0	
P11309	P10275	1	0	0	
P10275	O43524	1	0	1	
P06396	P10275	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=103977
P04792	P10275	1	1	1	
P10275	P04792	1	1	0	
P10275	O75376	1	1	0	
P10275	Q00987	1	0	0	
Q00987	P10275	1	0	1	
P10275	P63279	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10888
P63279	P10275	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10888
P10275	Q99801	1	1	0	
P10275	Q9NQU5	1	0	0	
Q9NQU5	P10275	1	1	0	
P18146	P10275	1	0	1	
P10275	P11308	0	0	0	
P10275	P35269	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10878
P35269	P10275	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10878
P63244	P10275	1	0	0	
P10275	Q96PM5	1	0	0	
Q96PM5	P10275	1	1	0	
Q9Y4C1	P10275	1	1	0	
P06493	P10275	1	1	0	
O95425	P10275	1	1	0	
P10275	O95425	1	0	0	
P10275	P51946	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10880
P10275	Q03135	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10794
Q03135	P10275	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10794
P10275	Q9Y6Q9	1	0	0	
Q9Y6Q9	P10275	1	1	0	
P49841	P10275	1	0	1	
Q00534	P10275	1	0	0	
Q8IZL8	P10275	1	0	0	
Q9BZK7	P10275	1	1	0	
P10275	P14859	1	0	0	
P10275	P08473	1	1	0	
P17844	P10275	1	1	0	
P10275	Q13285	1	1	0	
Q13285	P10275	1	0	0	
Q8TAE8	P10275	1	0	1	
P04049	P10275	1	0	0	
P10275	Q16543	1	0	0	
Q16543	P10275	1	0	0	
P10275	Q05086	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10896
P31749	P10275	1	1	1	
Q07912	P10275	1	1	0	
P10275	Q01196	1	0	0	
P10275	P15309	1	1	0	
P10275	P27797	1	0	0	
P27797	P10275	1	0	1	
P10275	P48552	1	0	0	
P48552	P10275	1	1	0	
P10275	P21860	1	1	0	
P10275	P25116	1	1	0	
Q9BQA1	P10275	1	1	0	
P10275	P49116	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10886
P49116	P10275	1	0	1	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10886
P10275	Q99933	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10814
P10275	Q92831	1	0	0	
Q92831	P10275	1	1	0	
Q05823	P10275	1	0	0	
P10275	P60763	1	0	0	
P10275	P55075	1	1	0	
O15164	P10275	1	1	0	
P10275	P82094	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10653
P10275	P32780	1	0	0	
P32780	P10275	1	0	0	
P10275	Q9UNE7	1	0	0	
Q9UNE7	P10275	1	0	0	
P10275	P20711	1	1	0	
P10275	P09086	1	0	0	
P10275	P26367	0	0	0	
P10275	Q13451	1	1	0	
Q13569	P10275	1	1	0	
P10275	P13984	1	0	0	
P13984	P10275	1	0	0	
Q6PL18	P10275	1	1	0	
P10275	P20151	1	1	0	
P10275	Q08117	1	0	0	
Q08117	P10275	1	0	0	
Q99873	P10275	1	0	0	
O43791	P10275	0	0	0	
P10606	P10275	1	0	0	
P10275	Q99497	1	0	1	
O14976	P10275	1	1	0	
P10275	P20142	1	1	0	
Q92624	P10275	1	0	0	
P10275	P07108	1	1	0	
P10275	Q969G3	0	0	0	
O75928	P10275	1	0	1	
P10275	O75928	1	0	0	
P10275	Q9Y3R0	1	0	0	
Q9Y3R0	P10275	1	0	0	
P10275	Q96S59	1	0	0	
Q96S59	P10275	1	0	0	
P10275	Q92922	1	1	0	
P10275	Q8N2W9	1	0	0	
Q8N2W9	P10275	1	0	1	
P10275	Q9BW04	1	1	0	
P10275	Q9UBK9	1	0	0	
P10275	Q15583	1	0	0	
P10275	P37088	1	1	0	
Q9H422	P10275	1	0	0	
P07288	P10275	1	0	1	
P10275	P07288	1	1	1	
P10275	Q9P2W1	1	0	0	
Q9P2W1	P10275	1	0	0	
P10275	Q5MNZ9	1	0	0	
P10275	P02795	1	1	0	
P10275	Q9Y4B4	1	0	0	
Q9Y4B4	P10275	1	0	0	
P10275	O15393	1	1	0	
Q9ULJ6	P10275	1	1	0	
P10275	Q96L73	1	0	0	
Q96L73	P10275	1	1	0	
P55317	P10275	1	0	1	
O95238	P10275	1	0	0	
P10275	O95238	1	0	0	
P10275	Q9UBS8	1	0	0	
Q9UBS8	P10275	1	0	1	
P10275	Q12770	1	1	0	
P10275	P11926	1	1	0	
P10275	Q05066	1	0	0	
P10275	O76076	1	1	0	
P10275	P07451	1	1	0	
P10275	Q9Y5K2	1	1	0	
P10275	P52788	1	1	0	
O75164	P10275	1	1	0	
P10275	Q6IWH7	1	1	0	
P10275	P20815	1	1	0	
P10275	P16118	1	1	0	
P10275	Q687X5	1	1	0	
Q6ZMT4	P10275	1	1	0	
O75317	P10275	0	0	0	
Q09472	P23511	1	1	0	
P08047	P23511	1	1	0	
P23511	P08047	1	1	0	
P24941	P23511	1	0	0	
P04637	P23511	1	0	1	
P23511	Q12772	1	1	0	
Q12772	P23511	1	1	0	
P05412	P23511	0	0	0	
P23511	P25208	1	1	0	
P25208	P23511	1	1	0	
P23511	Q9ULW8	1	1	0	
P23511	Q13952	1	1	0	
Q13952	P23511	1	1	0	
P23511	Q9UKY1	0	0	0	
P35754	P23511	1	1	0	
O15111	Q14790	1	0	0	
Q14790	O15111	1	1	0	
Q13158	Q14790	1	1	1	
Q14790	Q13158	1	0	1	
Q05513	Q14790	1	0	0	
Q14790	Q15628	1	0	0	
Q15628	Q14790	1	1	1	
P29350	Q14790	1	0	1	
Q14790	Q9Y4K3	1	0	0	
Q9Y4K3	Q14790	1	0	0	
O15519	Q14790	1	0	1	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=74316
Q14790	O15519	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=74316
Q12933	Q14790	1	1	1	
Q14790	Q12933	1	0	0	
Q14790	P49768	1	0	0	
P10415	Q14790	1	1	1	
Q14790	O15350	1	1	0	
Q14790	P99999	1	1	0	
Q14790	P05067	1	1	0	
P27986	Q14790	1	0	0	
Q14790	P49810	1	0	0	
P12931	Q14790	1	0	1	
Q14790	P12931	1	1	0	
P25445	Q14790	1	1	1	
Q14790	P25445	1	0	1	
P19438	Q14790	1	1	1	
Q14790	P19438	1	0	0	
P19525	Q14790	1	0	0	
Q14790	P19525	1	0	0	
P27361	Q14790	1	0	1	
Q07817	Q14790	1	1	0	
Q14790	Q15311	1	1	0	
P42574	Q14790	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=103141
Q14790	P42574	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=103141
Q14790	Q9Y6K9	1	1	0	
P28482	Q14790	1	0	1	
Q14790	P55210	1	1	0	
Q13501	Q14790	0	0	0	
P42575	Q14790	1	1	0	
Q14790	Q99558	1	1	0	
Q99558	Q14790	1	0	0	
P47712	Q14790	1	0	0	
Q14790	Q9UHD2	1	0	0	
P55212	Q14790	1	1	0	
Q14790	P55212	1	1	0	
Q16539	Q14790	1	0	1	
Q13418	Q14790	1	0	0	
Q14790	Q8WUI4	1	1	0	
Q8WUI4	Q14790	1	1	0	
Q9Y6E0	Q14790	1	0	0	
O43353	Q14790	1	1	1	
