source	target	is_directed	is_stimulation	is_inhibition	dip_url
Q13873	Q969L4	1	0	0	
P36894	Q13873	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10076
Q13873	P36894	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10076
P36897	Q13873	1	0	0	
Q13873	P36897	1	0	0	
Q13873	P63172	1	1	0	
Q13873	P12931	1	0	0	
Q13873	Q92547	1	0	0	
Q13873	P02511	1	0	0	
P67775	Q13873	1	0	0	
Q12866	Q13873	1	0	0	
P00540	Q13873	1	0	0	
P68400	Q13873	1	0	0	
Q13976	Q13873	1	0	0	
P41279	Q13873	1	0	0	
Q13873	Q13363	1	0	0	
Q13873	P53667	1	0	0	
O00238	Q13873	1	0	0	
Q13873	O00238	1	1	0	
P05771	Q13873	1	0	0	
Q13873	P33241	1	0	0	
P12644	Q13873	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10084
Q13873	P12644	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10084
P12643	Q13873	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10073
Q13873	P12643	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10073
Q13873	P15289	1	0	0	
O95476	Q13873	1	0	1	
P62714	Q13873	1	0	0	
P18075	Q13873	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10083
Q13873	P18075	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10083
Q13873	P48995	1	0	0	
Q13873	P07437	1	0	0	
Q13873	Q9HCE7	1	0	0	
Q9HCE7	Q13873	1	0	1	
Q9HAU4	Q13873	1	0	1	
Q04771	Q13873	1	0	0	
Q13873	Q04771	1	1	0	
Q13873	O43559	1	0	0	
Q13873	O43390	1	0	0	
P22004	Q13873	1	0	0	
Q13873	P22004	1	0	0	
Q13873	P04003	1	0	0	
Q12792	Q13873	1	0	0	
P43026	Q13873	1	1	0	
Q13873	P43026	1	0	0	
Q13873	P04350	1	0	0	
Q13873	O00567	1	0	0	
Q13253	Q13873	1	0	1	
Q13873	Q6KF10	1	0	0	
Q6KF10	Q13873	1	1	0	
Q13873	Q8TE12	1	0	0	
O95972	Q13873	1	1	0	
Q13873	Q9H981	1	0	0	
Q13873	Q9UPQ7	1	0	0	
O60383	Q13873	1	1	0	
Q13873	O60383	1	0	0	
Q13873	Q92696	1	0	0	
Q13873	Q8N998	1	0	0	
Q13873	P49888	1	0	0	
Q13873	Q10713	1	0	0	
Q13873	Q12952	1	0	0	
Q13873	Q8NFP9	1	0	0	
Q13873	P23141	1	0	0	
P51813	Q8WXA3	1	0	0	
P40763	P51813	1	0	0	
P51813	P40763	1	0	0	
P51813	Q05397	1	1	0	
Q05397	P51813	1	1	0	
P35968	P51813	1	0	0	
Q06187	P51813	1	1	0	
P12931	P51813	1	1	0	
P42224	P51813	1	0	0	
P51813	P42224	1	0	0	
P51813	Q16611	1	0	0	
P51813	P25445	1	0	0	
P00533	P51813	1	0	0	
P51813	P04637	1	0	0	
P42229	P51813	1	0	0	
P51813	P42229	1	0	0	
P51813	Q96T51	1	0	0	
P42574	P51813	1	0	0	
P51813	P42574	1	0	0	
P51813	P09327	1	0	0	
P51813	P46108	1	1	0	
P51813	P56945	1	0	0	
P56945	P51813	1	0	0	
P11309	P51813	1	0	0	
P51813	P49789	1	0	0	
P04626	P51813	1	0	0	
Q13153	P51813	1	0	0	
P42680	P51813	1	1	0	
P51813	Q03135	1	0	0	
Q08881	P51813	1	0	0	
P51813	P62834	1	0	0	
P62834	P51813	1	0	0	
P51813	Q16825	1	0	0	
P51813	P20333	1	0	0	
Q14980	P23258	1	1	0	
P42574	Q14980	1	1	1	
O14965	Q14980	1	0	0	
Q14980	O14965	1	1	0	
P55212	Q14980	1	1	1	
P11309	Q14980	1	0	0	
P81274	Q14980	0	0	0	
Q14980	Q9BQE3	1	1	0	
P06493	Q14980	1	0	1	
P00519	Q14980	1	0	0	
Q14980	Q13509	1	1	0	
Q14980	Q71U36	1	1	0	
Q14980	Q13748	1	1	0	
Q14980	P07437	1	1	0	
Q14980	Q9NY65	1	1	0	
Q14980	Q9BUF5	1	1	0	
Q14980	P68371	1	1	0	
Q14980	P68366	1	1	0	
Q14980	Q6PEY2	1	1	0	
Q14980	P68363	1	1	0	
O95619	Q14980	0	0	0	
Q14980	P04350	1	1	0	
Q14980	Q13885	1	1	0	
Q14980	Q9UJT1	1	1	0	
Q16531	P42224	1	0	0	
Q16531	Q01094	1	1	0	
Q16531	Q92466	1	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=66432
Q92466	Q16531	1	0	1	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=66432
Q13233	Q16531	1	0	0	
Q99759	Q16531	1	0	0	
P25054	Q16531	1	0	0	
O14757	Q16531	1	0	1	
Q16531	O14757	1	0	1	
Q16531	Q9H211	0	0	0	
P17612	Q16531	1	0	0	
P62877	Q16531	1	0	0	
Q16531	Q5TAQ9	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=103681
Q15843	Q16531	1	0	0	
Q16531	Q15843	1	0	0	
Q13620	Q16531	1	0	0	
Q16531	Q13216	1	0	0	
Q01831	Q16531	1	1	0	
Q16531	Q01831	1	0	0	
Q16531	Q96SW2	0	0	0	
Q16531	Q9Y4B6	0	0	0	
Q13619	Q16531	1	0	0	
Q16531	Q13619	1	0	0	
Q16531	Q9NRC8	0	0	0	
Q16531	Q9NX09	1	0	0	
P00533	P08648	1	0	0	
P05556	P08648	1	0	0	
P08648	P05556	1	0	0	
P05106	P08648	1	0	0	
P08648	P05106	1	0	0	
P35916	P08648	1	0	0	
P61073	P08648	1	0	0	
P04626	P08648	1	0	0	
P21802	P08648	1	0	0	
P08648	P18084	1	0	0	
P18084	P08648	1	0	0	
P24821	P08648	1	1	0	
P39060	P08648	1	1	0	
P02452	P08648	1	1	0	
P02751	P08648	1	1	0	
O14908	P08648	1	0	0	
P08648	Q15389	1	0	0	
Q15389	P08648	1	0	0	
P08648	Q9Y2I1	1	0	0	
P10451	P08648	1	1	0	
P41240	P07948	1	1	1	
P41240	P10275	1	0	0	
P06213	P41240	1	0	0	
P41240	P06213	1	0	0	
P30530	P41240	1	0	0	
P06239	P41240	1	1	0	
P41240	P06239	1	1	1	
P41240	P08575	1	1	0	
P41240	Q92793	1	0	0	
Q92793	P41240	1	1	0	
P41240	P08727	1	0	0	
P41240	P12956	1	0	0	
P41240	Q05397	1	1	0	
Q05397	P41240	1	0	0	
P41240	P49023	1	1	0	
P49023	P41240	1	0	0	
P41240	P10276	1	0	0	
P12931	P41240	1	0	0	
P41240	P12931	1	1	1	
P08069	P41240	1	1	0	
P41240	P08069	1	0	0	
P41240	P35222	1	0	0	
P41240	P13010	1	0	0	
P00533	P41240	1	0	0	
P41240	P00533	1	0	0	
P41240	P29353	1	1	0	
P41240	P13224	1	0	0	
P41240	P09629	1	0	0	
P41240	P07947	1	1	1	
P41240	Q8TD08	1	0	0	
Q8TD08	P41240	1	1	0	
P41240	O60331	1	0	0	
P41240	P98082	1	0	0	
P98082	P41240	1	1	0	
P41240	P07550	1	0	0	
P41240	O14939	1	0	0	
P41240	P33151	1	0	0	
P41240	Q99952	1	0	0	
P41240	P09769	1	1	0	
P41240	P61978	1	0	0	
P41240	Q99704	1	0	0	
Q99704	P41240	1	1	0	
P20963	P41240	1	1	1	
P41240	P20963	1	1	0	
P16284	P41240	1	1	0	
P41240	P16284	1	0	0	
P41240	P06396	1	0	0	
P41240	P04626	1	0	0	
P41240	P15941	1	0	0	
P41240	P08631	1	1	1	
P41240	P16070	1	0	0	
P41240	P46531	1	1	0	
P41240	Q13283	1	0	0	
P06241	P41240	1	0	0	
P41240	P06241	1	1	0	
Q05655	P41240	1	0	0	
P41240	O15492	1	0	0	
P41240	P49407	1	0	0	
P41240	P17302	1	0	0	
P41240	Q03135	1	0	0	
Q03135	P41240	1	0	0	
P41240	P22681	1	0	0	
P41240	Q05209	1	0	0	
P41240	Q9NWQ8	1	0	0	
Q9NWQ8	P41240	1	1	1	
P17612	P41240	1	1	0	
P41240	P17612	1	1	0	
P41240	P13569	1	0	0	
P41240	P09917	1	0	0	
P41240	Q9Y2R2	1	0	0	
P41240	P21860	1	0	0	
P41240	O75056	1	0	0	
P41240	P20936	1	0	0	
P41240	Q96MU7	1	1	0	
P41240	P08913	1	0	0	
P41240	Q6GTX8	1	0	0	
P41240	P09543	1	0	0	
P41240	P09417	1	0	0	
P41240	Q9Y3P8	1	0	0	
Q14118	P41240	1	0	0	
P41240	Q7L591	1	0	0	
P41240	A8K379	1	0	0	
Q8IVH8	Q04759	1	1	0	
Q12933	Q8IVH8	1	1	0	
Q8IVH8	Q12933	1	0	0	
Q8IVH8	Q13233	1	1	0	
Q8IVH8	Q99759	1	1	0	
Q99759	Q8IVH8	1	1	0	
Q8IVH8	Q16539	1	1	0	
Q9Y6R4	Q8IVH8	1	1	0	
Q8IVH8	Q99962	1	0	0	
Q8IVH8	O00499	1	0	0	
P36897	Q9NYS0	1	0	0	
Q9NYS0	P25963	1	1	0	
Q9NYS0	Q15653	1	0	0	
O00238	Q9NYS0	1	0	0	
Q04771	Q9NYS0	1	0	0	
P07948	Q14790	1	0	0	
P07948	P08575	1	0	0	
P08575	P07948	1	1	0	
P07948	P29350	1	0	0	
P29350	P07948	1	0	1	
P07948	Q04759	1	1	0	
Q04759	P07948	1	0	0	
P07948	Q05397	1	1	0	
Q05397	P07948	1	0	0	
P07948	P11802	1	0	0	
P11802	P07948	1	0	0	
P07948	P46109	1	0	0	
P07948	Q14289	1	1	0	
Q14289	P07948	1	1	0	
P07948	Q06187	1	1	0	
Q06187	P07948	1	0	0	
P07948	P15498	1	1	0	
P07948	P32927	1	1	0	
P32927	P07948	1	0	0	
P07948	P27986	1	1	0	
P07948	P29597	1	0	0	
P07948	P12931	1	0	0	
