yourlist:M201803228A530B6CA0138AFAA6D2B97CE8C2A924102F3CB	Entry	Entry name	Gene names	Organism
P08648	P08648	ITA5_HUMAN	ITGA5 FNRA	Homo sapiens (Human)
P05106	P05106	ITB3_HUMAN	ITGB3 GP3A	Homo sapiens (Human)
P35916	P35916	VGFR3_HUMAN	FLT4 VEGFR3	Homo sapiens (Human)
P61073	P61073	CXCR4_HUMAN	CXCR4	Homo sapiens (Human)
P21802	P21802	FGFR2_HUMAN	FGFR2 BEK KGFR KSAM	Homo sapiens (Human)
P18084	P18084	ITB5_HUMAN	ITGB5	Homo sapiens (Human)
P24821	P24821	TENA_HUMAN	TNC HXB	Homo sapiens (Human)
P39060	P39060	COIA1_HUMAN	COL18A1	Homo sapiens (Human)
P02452	P02452	CO1A1_HUMAN	COL1A1	Homo sapiens (Human)
P02751	P02751	FINC_HUMAN	FN1 FN	Homo sapiens (Human)
O14908	O14908	GIPC1_HUMAN	GIPC1 C19orf3 GIPC RGS19IP1	Homo sapiens (Human)
Q15389	Q15389	ANGP1_HUMAN	ANGPT1 KIAA0003	Homo sapiens (Human)
P10451	P10451	OSTP_HUMAN	SPP1 BNSP OPN PSEC0156	Homo sapiens (Human)
P41240	P41240	CSK_HUMAN	CSK	Homo sapiens (Human)
P06213	P06213	INSR_HUMAN	INSR	Homo sapiens (Human)
P30530	P30530	UFO_HUMAN	AXL UFO	Homo sapiens (Human)
P06239	P06239	LCK_HUMAN	LCK	Homo sapiens (Human)
Q92793	Q92793	CBP_HUMAN	CREBBP CBP	Homo sapiens (Human)
P49023	P49023	PAXI_HUMAN	PXN	Homo sapiens (Human)
P08069	P08069	IGF1R_HUMAN	IGF1R	Homo sapiens (Human)
Q8TD08	Q8TD08	MK15_HUMAN	MAPK15 ERK7 ERK8	Homo sapiens (Human)
P98082	P98082	DAB2_HUMAN	DAB2 DOC2	Homo sapiens (Human)
Q99704	Q99704	DOK1_HUMAN	DOK1	Homo sapiens (Human)
P20963	P20963	CD3Z_HUMAN	CD247 CD3Z T3Z TCRZ	Homo sapiens (Human)
P16284	P16284	PECA1_HUMAN	PECAM1	Homo sapiens (Human)
P06241	P06241	FYN_HUMAN	FYN	Homo sapiens (Human)
Q05655	Q05655	KPCD_HUMAN	PRKCD	Homo sapiens (Human)
Q03135	Q03135	CAV1_HUMAN	CAV1 CAV	Homo sapiens (Human)
Q9NWQ8	Q9NWQ8	PHAG1_HUMAN	PAG1 CBP PAG	Homo sapiens (Human)
Q14118	Q14118	DAG1_HUMAN	DAG1	Homo sapiens (Human)
Q8IVH8	Q8IVH8	M4K3_HUMAN	MAP4K3 RAB8IPL1	Homo sapiens (Human)
Q12933	Q12933	TRAF2_HUMAN	TRAF2 TRAP3	Homo sapiens (Human)
Q9Y6R4	Q9Y6R4	M3K4_HUMAN	MAP3K4 KIAA0213 MAPKKK4 MEKK4 MTK1	Homo sapiens (Human)
Q9NYS0	Q9NYS0	KBRS1_HUMAN	NKIRAS1 KBRAS1	Homo sapiens (Human)
P07948	P07948	LYN_HUMAN	LYN JTK8	Homo sapiens (Human)
P08575	P08575	PTPRC_HUMAN	PTPRC CD45	Homo sapiens (Human)
P29350	P29350	PTN6_HUMAN	PTPN6 HCP PTP1C	Homo sapiens (Human)
Q04759	Q04759	KPCT_HUMAN	PRKCQ PRKCT	Homo sapiens (Human)
P11802	P11802	CDK4_HUMAN	CDK4	Homo sapiens (Human)
Q14289	Q14289	FAK2_HUMAN	PTK2B FAK2 PYK2 RAFTK	Homo sapiens (Human)
P32927	P32927	IL3RB_HUMAN	CSF2RB IL3RB IL5RB	Homo sapiens (Human)
Q03405	Q03405	UPAR_HUMAN	PLAUR MO3 UPAR	Homo sapiens (Human)
P24941	P24941	CDK2_HUMAN	CDK2 CDKN2	Homo sapiens (Human)
P78352	P78352	DLG4_HUMAN	DLG4 PSD95	Homo sapiens (Human)
P27361	P27361	MK03_HUMAN	MAPK3 ERK1 PRKM3	Homo sapiens (Human)
P16410	P16410	CTLA4_HUMAN	CTLA4 CD152	Homo sapiens (Human)
P16885	P16885	PLCG2_HUMAN	PLCG2	Homo sapiens (Human)
O60674	O60674	JAK2_HUMAN	JAK2	Homo sapiens (Human)
P42679	P42679	MATK_HUMAN	MATK CTK HYL	Homo sapiens (Human)
P18433	P18433	PTPRA_HUMAN	PTPRA PTPA PTPRL2	Homo sapiens (Human)
Q9UQC2	Q9UQC2	GAB2_HUMAN	GAB2 KIAA0571	Homo sapiens (Human)
P48736	P48736	PK3CG_HUMAN	PIK3CG	Homo sapiens (Human)
P43405	P43405	KSYK_HUMAN	SYK	Homo sapiens (Human)
Q12913	Q12913	PTPRJ_HUMAN	PTPRJ DEP1	Homo sapiens (Human)
P07333	P07333	CSF1R_HUMAN	CSF1R FMS	Homo sapiens (Human)
P14317	P14317	HCLS1_HUMAN	HCLS1 HS1	Homo sapiens (Human)
Q92918	Q92918	M4K1_HUMAN	MAP4K1 HPK1	Homo sapiens (Human)
P67870	P67870	CSK2B_HUMAN	CSNK2B CK2N G5A	Homo sapiens (Human)
P02730	P02730	B3AT_HUMAN	SLC4A1 AE1 DI EPB3	Homo sapiens (Human)
P78527	P78527	PRKDC_HUMAN	PRKDC HYRC HYRC1	Homo sapiens (Human)
P22681	P22681	CBL_HUMAN	CBL CBL2 RNF55	Homo sapiens (Human)
P10721	P10721	KIT_HUMAN	KIT SCFR	Homo sapiens (Human)
P12318	P12318	FCG2A_HUMAN	FCGR2A CD32 FCG2 FCGR2A1 IGFR2	Homo sapiens (Human)
P19235	P19235	EPOR_HUMAN	EPOR	Homo sapiens (Human)
P20936	P20936	RASA1_HUMAN	RASA1 GAP RASA	Homo sapiens (Human)
P40259	P40259	CD79B_HUMAN	CD79B B29 IGB	Homo sapiens (Human)
P30273	P30273	FCERG_HUMAN	FCER1G	Homo sapiens (Human)
Q01362	Q01362	FCERB_HUMAN	MS4A2 APY FCER1B IGER	Homo sapiens (Human)
P31994	P31994	FCG2B_HUMAN	FCGR2B CD32 FCG2 IGFR2	Homo sapiens (Human)
Q92835	Q92835	SHIP1_HUMAN	INPP5D SHIP SHIP1	Homo sapiens (Human)
P11912	P11912	CD79A_HUMAN	CD79A IGA MB1	Homo sapiens (Human)
Q9HCN6	Q9HCN6	GPVI_HUMAN	GP6	Homo sapiens (Human)
P10275	P10275	ANDR_HUMAN	AR DHTR NR3C4	Homo sapiens (Human)
Q14790	Q14790	CASP8_HUMAN	CASP8 MCH5	Homo sapiens (Human)
P21333	P21333	FLNA_HUMAN	FLNA FLN FLN1	Homo sapiens (Human)
Q13043	Q13043	STK4_HUMAN	STK4 KRS2 MST1	Homo sapiens (Human)
P56524	P56524	HDAC4_HUMAN	HDAC4 KIAA0288	Homo sapiens (Human)
Q13547	Q13547	HDAC1_HUMAN	HDAC1 RPD3L1	Homo sapiens (Human)
Q9UER7	Q9UER7	DAXX_HUMAN	DAXX BING2 DAP6	Homo sapiens (Human)
Q04206	Q04206	TF65_HUMAN	RELA NFKB3	Homo sapiens (Human)
Q13485	Q13485	SMAD4_HUMAN	SMAD4 DPC4 MADH4	Homo sapiens (Human)
P19793	P19793	RXRA_HUMAN	RXRA NR2B1	Homo sapiens (Human)
Q16665	Q16665	HIF1A_HUMAN	HIF1A BHLHE78 MOP1 PASD8	Homo sapiens (Human)
P84022	P84022	SMAD3_HUMAN	SMAD3 MADH3	Homo sapiens (Human)
P40189	P40189	IL6RB_HUMAN	IL6ST	Homo sapiens (Human)
P03372	P03372	ESR1_HUMAN	ESR1 ESR NR3A1	Homo sapiens (Human)
Q13772	Q13772	NCOA4_HUMAN	NCOA4 ARA70 ELE1 RFG	Homo sapiens (Human)
P27986	P27986	P85A_HUMAN	PIK3R1 GRB1	Homo sapiens (Human)
O43294	O43294	TGFI1_HUMAN	TGFB1I1 ARA55	Homo sapiens (Human)
P04150	P04150	GCR_HUMAN	NR3C1 GRL	Homo sapiens (Human)
Q09472	Q09472	EP300_HUMAN	EP300 P300	Homo sapiens (Human)
P35869	P35869	AHR_HUMAN	AHR BHLHE76	Homo sapiens (Human)
Q92993	Q92993	KAT5_HUMAN	KAT5 HTATIP TIP60	Homo sapiens (Human)
P08047	P08047	SP1_HUMAN	SP1 TSFP1	Homo sapiens (Human)
P07900	P07900	HS90A_HUMAN	HSP90AA1 HSP90A HSPC1 HSPCA	Homo sapiens (Human)
P35222	P35222	CTNB1_HUMAN	CTNNB1 CTNNB OK/SW-cl.35 PRO2286	Homo sapiens (Human)
Q9Y618	Q9Y618	NCOR2_HUMAN	NCOR2 CTG26	Homo sapiens (Human)
P04637	P04637	P53_HUMAN	TP53 P53	Homo sapiens (Human)
P51843	P51843	NR0B1_HUMAN	NR0B1 AHC DAX1	Homo sapiens (Human)
Q9Y6X2	Q9Y6X2	PIAS3_HUMAN	PIAS3	Homo sapiens (Human)
Q15596	Q15596	NCOA2_HUMAN	NCOA2 BHLHE75 SRC2 TIF2	Homo sapiens (Human)
Q9HBE1	Q9HBE1	PATZ1_HUMAN	PATZ1 PATZ RIAZ ZBTB19 ZNF278 ZSG	Homo sapiens (Human)
Q14192	Q14192	FHL2_HUMAN	FHL2 DRAL SLIM3	Homo sapiens (Human)
P45983	P45983	MK08_HUMAN	MAPK8 JNK1 PRKM8 SAPK1 SAPK1C	Homo sapiens (Human)
P15884	P15884	ITF2_HUMAN	TCF4 BHLHB19 ITF2 SEF2	Homo sapiens (Human)
O96028	O96028	NSD2_HUMAN	NSD2 KIAA1090 MMSET TRX5 WHSC1	Homo sapiens (Human)
P50750	P50750	CDK9_HUMAN	CDK9 CDC2L4 TAK	Homo sapiens (Human)
O43293	O43293	DAPK3_HUMAN	DAPK3 ZIPK	Homo sapiens (Human)
P41161	P41161	ETV5_HUMAN	ETV5 ERM	Homo sapiens (Human)
Q00535	Q00535	CDK5_HUMAN	CDK5 CDKN5	Homo sapiens (Human)
P28482	P28482	MK01_HUMAN	MAPK1 ERK2 PRKM1 PRKM2	Homo sapiens (Human)
Q9UQ80	Q9UQ80	PA2G4_HUMAN	PA2G4 EBP1	Homo sapiens (Human)
Q15466	Q15466	NR0B2_HUMAN	NR0B2 SHP	Homo sapiens (Human)
P38398	P38398	BRCA1_HUMAN	BRCA1 RNF53	Homo sapiens (Human)
P50613	P50613	CDK7_HUMAN	CDK7 CAK CAK1 CDKN7 MO15 STK1	Homo sapiens (Human)
P60484	P60484	PTEN_HUMAN	PTEN MMAC1 TEP1	Homo sapiens (Human)
O95251	O95251	KAT7_HUMAN	KAT7 HBO1 HBOa MYST2	Homo sapiens (Human)
P62826	P62826	RAN_HUMAN	RAN ARA24 OK/SW-cl.81	Homo sapiens (Human)
P12235	P12235	ADT1_HUMAN	SLC25A4 ANT1	Homo sapiens (Human)
Q12778	Q12778	FOXO1_HUMAN	FOXO1 FKHR FOXO1A	Homo sapiens (Human)
Q9UKW4	Q9UKW4	VAV3_HUMAN	VAV3	Homo sapiens (Human)
Q06830	Q06830	PRDX1_HUMAN	PRDX1 PAGA PAGB TDPX2	Homo sapiens (Human)
Q9UKG1	Q9UKG1	DP13A_HUMAN	APPL1 APPL DIP13A KIAA1428	Homo sapiens (Human)
O60341	O60341	KDM1A_HUMAN	KDM1A AOF2 KDM1 KIAA0601 LSD1	Homo sapiens (Human)
P16591	P16591	FER_HUMAN	FER TYK3	Homo sapiens (Human)
Q96EB6	Q96EB6	SIR1_HUMAN	SIRT1 SIR2L1	Homo sapiens (Human)
Q14686	Q14686	NCOA6_HUMAN	NCOA6 AIB3 KIAA0181 RAP250 TRBP	Homo sapiens (Human)
P04406	P04406	G3P_HUMAN	GAPDH GAPD CDABP0047 OK/SW-cl.12	Homo sapiens (Human)
Q16512	Q16512	PKN1_HUMAN	PKN1 PAK1 PKN PRK1 PRKCL1	Homo sapiens (Human)
P06396	P06396	GELS_HUMAN	GSN	Homo sapiens (Human)
P04792	P04792	HSPB1_HUMAN	HSPB1 HSP27 HSP28	Homo sapiens (Human)
Q00987	Q00987	MDM2_HUMAN	MDM2	Homo sapiens (Human)
P63279	P63279	UBC9_HUMAN	UBE2I UBC9 UBCE9	Homo sapiens (Human)
Q9NQU5	Q9NQU5	PAK6_HUMAN	PAK6 PAK5	Homo sapiens (Human)
P18146	P18146	EGR1_HUMAN	EGR1 KROX24 ZNF225	Homo sapiens (Human)
P35269	P35269	T2FA_HUMAN	GTF2F1 RAP74	Homo sapiens (Human)
P63244	P63244	RACK1_HUMAN	RACK1 GNB2L1 HLC7 PIG21	Homo sapiens (Human)
Q96PM5	Q96PM5	ZN363_HUMAN	RCHY1 ARNIP CHIMP PIRH2 RNF199 ZNF363	Homo sapiens (Human)
Q9Y4C1	Q9Y4C1	KDM3A_HUMAN	KDM3A JHDM2A JMJD1 JMJD1A KIAA0742 TSGA	Homo sapiens (Human)
O95425	O95425	SVIL_HUMAN	SVIL	Homo sapiens (Human)
Q9Y6Q9	Q9Y6Q9	NCOA3_HUMAN	NCOA3 AIB1 BHLHE42 RAC3 TRAM1	Homo sapiens (Human)
P49841	P49841	GSK3B_HUMAN	GSK3B	Homo sapiens (Human)
Q00534	Q00534	CDK6_HUMAN	CDK6 CDKN6	Homo sapiens (Human)
Q8IZL8	Q8IZL8	PELP1_HUMAN	PELP1 HMX3 MNAR	Homo sapiens (Human)
Q9BZK7	Q9BZK7	TBL1R_HUMAN	TBL1XR1 IRA1 TBLR1	Homo sapiens (Human)
P17844	P17844	DDX5_HUMAN	DDX5 G17P1 HELR HLR1	Homo sapiens (Human)
Q13285	Q13285	STF1_HUMAN	NR5A1 AD4BP FTZF1 SF1	Homo sapiens (Human)
Q8TAE8	Q8TAE8	G45IP_HUMAN	GADD45GIP1 MRPL59 PLINP1 PRG6	Homo sapiens (Human)
P04049	P04049	RAF1_HUMAN	RAF1 RAF	Homo sapiens (Human)
Q16543	Q16543	CDC37_HUMAN	CDC37 CDC37A	Homo sapiens (Human)
P31749	P31749	AKT1_HUMAN	AKT1 PKB RAC	Homo sapiens (Human)
Q07912	Q07912	ACK1_HUMAN	TNK2 ACK1	Homo sapiens (Human)
P27797	P27797	CALR_HUMAN	CALR CRTC	Homo sapiens (Human)
P48552	P48552	NRIP1_HUMAN	NRIP1	Homo sapiens (Human)
Q9BQA1	Q9BQA1	MEP50_HUMAN	WDR77 MEP50 WD45 HKMT1069 Nbla10071	Homo sapiens (Human)
P49116	P49116	NR2C2_HUMAN	NR2C2 TAK1 TR4	Homo sapiens (Human)
Q92831	Q92831	KAT2B_HUMAN	KAT2B PCAF	Homo sapiens (Human)
Q05823	Q05823	RN5A_HUMAN	RNASEL RNS4	Homo sapiens (Human)
O15164	O15164	TIF1A_HUMAN	TRIM24 RNF82 TIF1 TIF1A	Homo sapiens (Human)
P32780	P32780	TF2H1_HUMAN	GTF2H1 BTF2	Homo sapiens (Human)
Q9UNE7	Q9UNE7	CHIP_HUMAN	STUB1 CHIP PP1131	Homo sapiens (Human)
Q13569	Q13569	TDG_HUMAN	TDG	Homo sapiens (Human)
P13984	P13984	T2FB_HUMAN	GTF2F2 RAP30	Homo sapiens (Human)
Q6PL18	Q6PL18	ATAD2_HUMAN	ATAD2 L16 PRO2000	Homo sapiens (Human)
Q08117	Q08117	AES_HUMAN	AES GRG GRG5	Homo sapiens (Human)
Q99873	Q99873	ANM1_HUMAN	PRMT1 HMT2 HRMT1L2 IR1B4	Homo sapiens (Human)
O43791	O43791	SPOP_HUMAN	SPOP	Homo sapiens (Human)
P10606	P10606	COX5B_HUMAN	COX5B	Homo sapiens (Human)
O14976	O14976	GAK_HUMAN	GAK	Homo sapiens (Human)
Q92624	Q92624	APBP2_HUMAN	APPBP2 KIAA0228 PAT1	Homo sapiens (Human)
O75928	O75928	PIAS2_HUMAN	PIAS2 PIASX	Homo sapiens (Human)
Q9Y3R0	Q9Y3R0	GRIP1_HUMAN	GRIP1	Homo sapiens (Human)
Q96S59	Q96S59	RANB9_HUMAN	RANBP9 RANBPM	Homo sapiens (Human)
Q8N2W9	Q8N2W9	PIAS4_HUMAN	PIAS4 PIASG	Homo sapiens (Human)
Q9H422	Q9H422	HIPK3_HUMAN	HIPK3 DYRK6 FIST3 PKY	Homo sapiens (Human)
P07288	P07288	KLK3_HUMAN	KLK3 APS	Homo sapiens (Human)
Q9P2W1	Q9P2W1	HOP2_HUMAN	PSMC3IP HOP2 TBPIP	Homo sapiens (Human)
Q9Y4B4	Q9Y4B4	ARIP4_HUMAN	RAD54L2 ARIP4 KIAA0809	Homo sapiens (Human)
Q9ULJ6	Q9ULJ6	ZMIZ1_HUMAN	ZMIZ1 KIAA1224 RAI17 ZIMP10	Homo sapiens (Human)
Q96L73	Q96L73	NSD1_HUMAN	NSD1 ARA267 KMT3B	Homo sapiens (Human)
P55317	P55317	FOXA1_HUMAN	FOXA1 HNF3A TCF3A	Homo sapiens (Human)
O95238	O95238	SPDEF_HUMAN	SPDEF PDEF PSE	Homo sapiens (Human)
Q9UBS8	Q9UBS8	RNF14_HUMAN	RNF14 ARA54 HRIHFB2038	Homo sapiens (Human)
O75164	O75164	KDM4A_HUMAN	KDM4A JHDM3A JMJD2 JMJD2A KIAA0677	Homo sapiens (Human)
Q6ZMT4	Q6ZMT4	KDM7A_HUMAN	KDM7A JHDM1D KDM7 KIAA1718	Homo sapiens (Human)
O75317	O75317	UBP12_HUMAN	USP12 UBH1 USP12L1	Homo sapiens (Human)
P23511	P23511	NFYA_HUMAN	NFYA	Homo sapiens (Human)
Q12772	Q12772	SRBP2_HUMAN	SREBF2 BHLHD2 SREBP2	Homo sapiens (Human)
P05412	P05412	JUN_HUMAN	JUN	Homo sapiens (Human)
P25208	P25208	NFYB_HUMAN	NFYB HAP3	Homo sapiens (Human)
Q13952	Q13952	NFYC_HUMAN	NFYC	Homo sapiens (Human)
P35754	P35754	GLRX1_HUMAN	GLRX GRX	Homo sapiens (Human)
O15111	O15111	IKKA_HUMAN	CHUK IKKA TCF16	Homo sapiens (Human)
Q13158	Q13158	FADD_HUMAN	FADD MORT1 GIG3	Homo sapiens (Human)
Q05513	Q05513	KPCZ_HUMAN	PRKCZ PKC2	Homo sapiens (Human)
Q15628	Q15628	TRADD_HUMAN	TRADD	Homo sapiens (Human)
Q9Y4K3	Q9Y4K3	TRAF6_HUMAN	TRAF6 RNF85	Homo sapiens (Human)
O15519	O15519	CFLAR_HUMAN	CFLAR CASH CASP8AP1 CLARP MRIT	Homo sapiens (Human)
P10415	P10415	BCL2_HUMAN	BCL2	Homo sapiens (Human)
P25445	P25445	TNR6_HUMAN	FAS APT1 FAS1 TNFRSF6	Homo sapiens (Human)
P19438	P19438	TNR1A_HUMAN	TNFRSF1A TNFAR TNFR1	Homo sapiens (Human)
P19525	P19525	E2AK2_HUMAN	EIF2AK2 PKR PRKR	Homo sapiens (Human)
Q07817	Q07817	B2CL1_HUMAN	BCL2L1 BCL2L BCLX	Homo sapiens (Human)
Q13501	Q13501	SQSTM_HUMAN	SQSTM1 ORCA OSIL	Homo sapiens (Human)
P42575	P42575	CASP2_HUMAN	CASP2 ICH1 NEDD2	Homo sapiens (Human)
Q99558	Q99558	M3K14_HUMAN	MAP3K14 NIK	Homo sapiens (Human)
P47712	P47712	PA24A_HUMAN	PLA2G4A CPLA2 PLA2G4	Homo sapiens (Human)
Q16539	Q16539	MK14_HUMAN	MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A	Homo sapiens (Human)
Q13418	Q13418	ILK_HUMAN	ILK ILK1 ILK2	Homo sapiens (Human)
Q8WUI4	Q8WUI4	HDAC7_HUMAN	HDAC7 HDAC7A	Homo sapiens (Human)
Q9Y6E0	Q9Y6E0	STK24_HUMAN	STK24 MST3 STK3	Homo sapiens (Human)
O43353	O43353	RIPK2_HUMAN	RIPK2 CARDIAK RICK RIP2 UNQ277/PRO314/PRO34092	Homo sapiens (Human)
P21127	P21127	CD11B_HUMAN	CDK11B CDC2L1 CDK11 PITSLREA PK58	Homo sapiens (Human)
Q13546	Q13546	RIPK1_HUMAN	RIPK1 RIP RIP1	Homo sapiens (Human)
O14920	O14920	IKKB_HUMAN	IKBKB IKKB	Homo sapiens (Human)
Q9BXL7	Q9BXL7	CAR11_HUMAN	CARD11 CARMA1	Homo sapiens (Human)
P42684	P42684	ABL2_HUMAN	ABL2 ABLL ARG	Homo sapiens (Human)
Q7L5N1	Q7L5N1	CSN6_HUMAN	COPS6 CSN6 HVIP	Homo sapiens (Human)
Q9UNN5	Q9UNN5	FAF1_HUMAN	FAF1 UBXD12 UBXN3A CGI-03	Homo sapiens (Human)
O14727	O14727	APAF_HUMAN	APAF1 KIAA0413	Homo sapiens (Human)
O60936	O60936	NOL3_HUMAN	NOL3 ARC NOP	Homo sapiens (Human)
P10914	P10914	IRF1_HUMAN	IRF1	Homo sapiens (Human)
O95786	O95786	DDX58_HUMAN	DDX58	Homo sapiens (Human)
P09486	P09486	SPRC_HUMAN	SPARC ON	Homo sapiens (Human)
P10144	P10144	GRAB_HUMAN	GZMB CGL1 CSPB CTLA1 GRB	Homo sapiens (Human)
O00220	O00220	TR10A_HUMAN	TNFRSF10A APO2 DR4 TRAILR1	Homo sapiens (Human)
Q7Z434	Q7Z434	MAVS_HUMAN	MAVS IPS1 KIAA1271 VISA	Homo sapiens (Human)
O14763	O14763	TR10B_HUMAN	TNFRSF10B DR5 KILLER TRAILR2 TRICK2 ZTNFR9 UNQ160/PRO186	Homo sapiens (Human)
Q8WXF8	Q8WXF8	DEDD2_HUMAN	DEDD2 FLAME3 PSEC0004	Homo sapiens (Human)
P78560	P78560	CRADD_HUMAN	CRADD RAIDD	Homo sapiens (Human)
O75618	O75618	DEDD_HUMAN	DEDD DEDPRO1 DEFT KE05	Homo sapiens (Human)
P55957	P55957	BID_HUMAN	BID	Homo sapiens (Human)
Q13490	Q13490	BIRC2_HUMAN	BIRC2 API1 MIHB RNF48	Homo sapiens (Human)
P48023	P48023	TNFL6_HUMAN	FASLG APT1LG1 CD95L FASL TNFSF6	Homo sapiens (Human)
