yourlist:M201803228A530B6CA0138AFAA6D2B97CE8C2A924102F3CB	Entry	Entry name	Gene names	Organism
Q13873	Q13873	BMPR2_HUMAN	BMPR2 PPH1	Homo sapiens (Human)
P36894	P36894	BMR1A_HUMAN	BMPR1A ACVRLK3 ALK3	Homo sapiens (Human)
P36897	P36897	TGFR1_HUMAN	TGFBR1 ALK5 SKR4	Homo sapiens (Human)
P67775	P67775	PP2AA_HUMAN	PPP2CA	Homo sapiens (Human)
Q12866	Q12866	MERTK_HUMAN	MERTK MER	Homo sapiens (Human)
P00540	P00540	MOS_HUMAN	MOS	Homo sapiens (Human)
P68400	P68400	CSK21_HUMAN	CSNK2A1 CK2A1	Homo sapiens (Human)
Q13976	Q13976	KGP1_HUMAN	PRKG1 PRKG1B PRKGR1A PRKGR1B	Homo sapiens (Human)
P41279	P41279	M3K8_HUMAN	MAP3K8 COT ESTF	Homo sapiens (Human)
O00238	O00238	BMR1B_HUMAN	BMPR1B	Homo sapiens (Human)
P05771	P05771	KPCB_HUMAN	PRKCB PKCB PRKCB1	Homo sapiens (Human)
P12644	P12644	BMP4_HUMAN	BMP4 BMP2B DVR4	Homo sapiens (Human)
P12643	P12643	BMP2_HUMAN	BMP2 BMP2A	Homo sapiens (Human)
O95476	O95476	CNEP1_HUMAN	CTDNEP1 DULLARD	Homo sapiens (Human)
P62714	P62714	PP2AB_HUMAN	PPP2CB	Homo sapiens (Human)
P18075	P18075	BMP7_HUMAN	BMP7 OP1	Homo sapiens (Human)
Q9HCE7	Q9HCE7	SMUF1_HUMAN	SMURF1 KIAA1625	Homo sapiens (Human)
Q9HAU4	Q9HAU4	SMUF2_HUMAN	SMURF2	Homo sapiens (Human)
Q04771	Q04771	ACVR1_HUMAN	ACVR1 ACVRLK2	Homo sapiens (Human)
P22004	P22004	BMP6_HUMAN	BMP6 VGR	Homo sapiens (Human)
Q12792	Q12792	TWF1_HUMAN	TWF1 PTK9	Homo sapiens (Human)
P43026	P43026	GDF5_HUMAN	GDF5 BMP14 CDMP1	Homo sapiens (Human)
Q13253	Q13253	NOGG_HUMAN	NOG	Homo sapiens (Human)
Q6KF10	Q6KF10	GDF6_HUMAN	GDF6 BMP13 GDF16	Homo sapiens (Human)
O95972	O95972	BMP15_HUMAN	BMP15 GDF9B	Homo sapiens (Human)
O60383	O60383	GDF9_HUMAN	GDF9	Homo sapiens (Human)
P51813	P51813	BMX_HUMAN	BMX	Homo sapiens (Human)
P40763	P40763	STAT3_HUMAN	STAT3 APRF	Homo sapiens (Human)
Q05397	Q05397	FAK1_HUMAN	PTK2 FAK FAK1	Homo sapiens (Human)
P35968	P35968	VGFR2_HUMAN	KDR FLK1 VEGFR2	Homo sapiens (Human)
Q06187	Q06187	BTK_HUMAN	BTK AGMX1 ATK BPK	Homo sapiens (Human)
P12931	P12931	SRC_HUMAN	SRC SRC1	Homo sapiens (Human)
P42224	P42224	STAT1_HUMAN	STAT1	Homo sapiens (Human)
P00533	P00533	EGFR_HUMAN	EGFR ERBB ERBB1 HER1	Homo sapiens (Human)
P42229	P42229	STA5A_HUMAN	STAT5A STAT5	Homo sapiens (Human)
P42574	P42574	CASP3_HUMAN	CASP3 CPP32	Homo sapiens (Human)
P56945	P56945	BCAR1_HUMAN	BCAR1 CAS CASS1 CRKAS	Homo sapiens (Human)
P11309	P11309	PIM1_HUMAN	PIM1	Homo sapiens (Human)
P04626	P04626	ERBB2_HUMAN	ERBB2 HER2 MLN19 NEU NGL	Homo sapiens (Human)
Q13153	Q13153	PAK1_HUMAN	PAK1	Homo sapiens (Human)
P42680	P42680	TEC_HUMAN	TEC PSCTK4	Homo sapiens (Human)
Q08881	Q08881	ITK_HUMAN	ITK EMT LYK	Homo sapiens (Human)
P62834	P62834	RAP1A_HUMAN	RAP1A KREV1	Homo sapiens (Human)
Q14980	Q14980	NUMA1_HUMAN	NUMA1 NMP22 NUMA	Homo sapiens (Human)
O14965	O14965	AURKA_HUMAN	AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6	Homo sapiens (Human)
P55212	P55212	CASP6_HUMAN	CASP6 MCH2	Homo sapiens (Human)
P81274	P81274	GPSM2_HUMAN	GPSM2 LGN	Homo sapiens (Human)
P06493	P06493	CDK1_HUMAN	CDK1 CDC2 CDC28A CDKN1 P34CDC2	Homo sapiens (Human)
P00519	P00519	ABL1_HUMAN	ABL1 ABL JTK7	Homo sapiens (Human)
O95619	O95619	YETS4_HUMAN	YEATS4 GAS41	Homo sapiens (Human)
Q16531	Q16531	DDB1_HUMAN	DDB1 XAP1	Homo sapiens (Human)
Q92466	Q92466	DDB2_HUMAN	DDB2	Homo sapiens (Human)
Q13233	Q13233	M3K1_HUMAN	MAP3K1 MAPKKK1 MEKK MEKK1	Homo sapiens (Human)
Q99759	Q99759	M3K3_HUMAN	MAP3K3 MAPKKK3 MEKK3	Homo sapiens (Human)
P25054	P25054	APC_HUMAN	APC DP2.5	Homo sapiens (Human)
O14757	O14757	CHK1_HUMAN	CHEK1 CHK1	Homo sapiens (Human)
P17612	P17612	KAPCA_HUMAN	PRKACA PKACA	Homo sapiens (Human)
P62877	P62877	RBX1_HUMAN	RBX1 RNF75 ROC1	Homo sapiens (Human)
Q15843	Q15843	NEDD8_HUMAN	NEDD8	Homo sapiens (Human)
Q13620	Q13620	CUL4B_HUMAN	CUL4B KIAA0695	Homo sapiens (Human)
Q01831	Q01831	XPC_HUMAN	XPC XPCC	Homo sapiens (Human)
Q13619	Q13619	CUL4A_HUMAN	CUL4A	Homo sapiens (Human)
P05556	P05556	ITB1_HUMAN	ITGB1 FNRB MDF2 MSK12	Homo sapiens (Human)
